hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,mean_rent,district,age,ping,pred_ping,diff
894ba0a4647ffff,121.49433201248496,25.029184015015687,1.0,1.0,0.0,5.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,18.909,1.0,16.0,1.0,2.0,2.0,3.0,7.180280212514639e-6,40.1586006,0.8758391766346513,302.877,1262.61,1.0,42.495,65.57649344000001,45.71810147200519,-19.85839196799482
894ba0a6107ffff,121.52190352860924,25.09587668119738,1.0,1.0,0.0,5.0,0.8,5.0,2.0,2.0,2.0,1.0,1.0,20.183,1.0,3.0,0.0,0.0,3.0,9.0,6.870411090383786e-7,57.0,0.9819666023739572,190.179,1602.342,0.65284,34.684,51.5291575,54.93601277102048,3.4068552710204827
894ba0a480bffff,121.57692996858476,25.03699200928071,1.0,1.0,0.0,5.0,0.25,4.0,0.0,2.0,1.0,1.0,1.0,24.387,1.0,9.0,0.0,2.0,3.0,26.0,-3.2076507914496416e-6,67.75510200000001,1.123431180259538,133.74,1528.998,0.40066,28.95,127.85280674,95.01933971497007,-32.83346702502993
894ba0a43cfffff,121.52654500749264,25.024130020767515,1.0,1.0,0.0,2.0,0.857,7.0,2.0,2.0,1.0,1.0,1.0,27.207,1.0,7.0,0.0,0.0,2.0,5.0,-4.413769251612692e-6,69.99416910000001,1.259315372838953,135.884,1946.131,0.0,33.287,92.51380474,105.98597235074354,13.47216761074354
894ba0a58afffff,121.54836402346768,24.997518986928057,1.0,1.0,1.0,2.0,0.8,5.0,4.0,2.0,2.0,1.0,1.0,47.368,1.0,4.0,1.0,2.0,5.0,8.0,6.05257935746044e-7,59.366472300000005,0.8766219253524274,146.737,1342.859,0.80751,33.315,47.922529700000005,53.42362990630152,5.5011002063015155
894ba0a4e73ffff,121.5556339833679,25.02688301495597,1.0,1.0,1.0,1.0,0.933,15.0,2.0,2.0,1.0,1.0,1.0,34.923,0.0,5.0,1.0,1.0,7.0,15.0,2.6770696870038447e-6,51.643731800000005,1.216210758521865,275.14,1987.736,0.40066,40.338,107.42626854,90.59502319607623,-16.83124534392377
894ba0a480bffff,121.57763295880407,25.03671000014837,2.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,29.572,1.0,14.0,0.0,2.0,6.0,35.0,-3.2076507914496416e-6,67.75510200000001,1.123431180259538,133.74,1528.998,0.40066,28.95,67.63104814,68.25161611621283,0.6205679762128256
894ba0a435bffff,121.52394519258472,25.01860320336121,1.0,1.0,1.0,1.0,0.154,13.0,3.0,2.0,2.0,1.0,1.0,52.039,0.0,2.0,0.0,0.0,1.0,0.0,-1.3116620839869756e-6,66.3932945,1.2929162566198993,212.52,1577.925,0.00286,37.875,70.13981976000001,67.61595422548436,-2.52386553451565
894ba0a5967ffff,121.5690045071804,24.99172107377981,24.0,1.0,2.0,2.0,0.4,5.0,3.0,2.0,2.0,1.0,0.0,60.106,1.0,7.0,1.0,0.0,2.0,8.0,-1.8888053381390052e-6,61.11224490000001,0.8766219253524274,181.32,1147.691,0.80751,23.1,71.47866876,71.72214484391948,0.24347608391947517
894ba1d32d3ffff,121.5978080321093,25.06685698175191,1.0,1.0,1.0,2.0,0.667,9.0,1.0,1.0,1.0,1.0,1.0,16.453,0.0,3.0,0.0,2.0,4.0,0.0,-0.0000136277771768,101.5798834,1.3570544322769913,106.791,1870.452,0.58423,11.638,85.55311226,81.74572383225394,-3.807388427746062
894ba0a5da7ffff,121.55622800884596,25.021157001620693,1.0,1.0,1.0,1.0,0.25,12.0,2.0,2.0,2.0,1.0,1.0,41.908,2.0,8.0,0.0,2.0,6.0,17.0,2.1369554284471734e-6,54.8498542,1.224835692707631,248.022,1830.186,0.40066,32.569,64.03896586,70.85204713338614,6.813081273386132
894ba1d3607ffff,121.5956910148243,25.080899016503665,1.0,1.0,1.0,1.0,0.571,14.0,2.0,2.0,1.0,1.0,1.0,34.772,0.0,7.0,1.0,1.0,7.0,9.0,-2.048487533145513e-6,64.8994169,1.3570544322769913,163.606,1622.841,0.58423,25.0,101.59682082,78.34333085860179,-23.253489961398216
894ba0a45d3ffff,121.51522398996876,25.06317300957776,3.0,1.0,0.0,1.0,0.286,14.0,1.0,1.0,1.0,1.0,1.0,19.436,5.0,10.0,1.0,2.0,2.0,6.0,2.4507525394658e-6,51.794752200000005,1.0450340557612128,133.98,1855.327,0.52195,42.74,66.63038248000001,67.23189271972288,0.6015102397228702
894ba0a4e03ffff,121.55495563594388,25.03173798091325,1.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,27.198,0.0,20.0,0.0,1.0,3.0,20.0,-1.7445734629268235e-6,65.4440233,1.259315372838953,187.354,2130.331,0.0,34.431,80.15407970000001,79.20453258418438,-0.9495471158156334
894ba0a442fffff,121.51316497545372,25.05188300509559,1.0,1.0,0.0,2.0,1.0,10.0,3.0,2.0,2.0,1.0,1.0,37.383,2.0,12.0,0.0,1.0,6.0,4.0,2.247049831614324e-6,51.670845500000006,1.0450340557612128,209.747,1938.405,0.52195,29.363,41.67688176,56.36109326220383,14.68421150220383
894ba0a5ca3ffff,121.53156400729512,25.014717981691803,1.0,1.0,1.0,1.0,0.417,12.0,3.0,2.0,2.0,1.0,1.0,69.009,0.0,11.0,0.0,1.0,1.0,0.0,-4.649148787128424e-7,65.9819242,1.2929162566198993,167.443,1781.412,0.00286,12.6,43.47259232,75.28584487957126,31.81325255957126
894ba0a4dcbffff,121.57590502946448,25.05644301188013,1.0,1.0,0.0,2.0,0.222,9.0,2.0,2.0,1.0,1.0,1.0,37.534,0.0,3.0,0.0,0.0,5.0,0.0,2.029882045221241e-6,55.35918370000001,1.3570544322769913,151.746,1478.854,0.58423,16.139,47.63690858,57.76178226340003,10.124873683400033
894ba0a41d7ffff,121.5340779915145,25.050253982213448,2.0,1.0,0.0,2.0,0.857,7.0,3.0,2.0,2.0,1.0,1.0,34.228,5.0,3.0,1.0,2.0,19.0,15.0,-1.645441029908772e-6,64.0466472,1.344965233176035,209.633,2809.015,0.31615,38.621,104.00939366,74.14619763663467,-29.863196023365333
894ba0a4893ffff,121.572443303453,25.048994014528105,1.0,1.0,1.0,1.0,0.167,12.0,1.0,0.0,1.0,1.0,1.0,19.662,0.0,15.0,1.0,3.0,8.0,4.0,2.419118190616244e-6,54.0667638,1.123431180259538,241.068,1783.779,0.40066,17.484,87.06452402000001,87.52085554962163,0.4563315296216217
894ba5692a7ffff,121.53450136144392,25.12169290106823,1.0,1.0,0.0,5.0,0.8,5.0,3.0,2.0,2.0,1.0,1.0,15.064,0.0,6.0,0.0,2.0,9.0,6.0,-2.015213207540397e-6,64.0912536,0.9819666023739572,176.198,1192.139,0.65284,30.425,47.79459524000001,50.5833976369099,2.788802396909894
894ba0a45d3ffff,121.51522398996876,25.06317300957776,3.0,1.0,1.0,1.0,0.643,14.0,2.0,2.0,1.0,1.0,1.0,28.892,5.0,10.0,1.0,2.0,2.0,6.0,2.4507525394658e-6,51.794752200000005,1.0450340557612128,133.98,1855.327,0.52195,42.74,70.95469946,67.45020273509657,-3.504496724903433
894ba1d36cbffff,121.58349098711436,25.07596899060344,1.0,1.0,1.0,2.0,0.5,10.0,3.0,2.0,2.0,1.0,1.0,50.853,0.0,5.0,0.0,0.0,2.0,1.0,-9.751635749174573e-8,61.4565598,1.3570544322769913,239.896,1602.358,0.58423,25.049,65.6399648,64.52259920478079,-1.117365595219212
894ba0a4e47ffff,121.55323399303164,25.02599398839567,2.0,1.0,0.0,2.0,0.857,7.0,3.0,2.0,2.0,1.0,1.0,22.92,0.0,11.0,0.0,2.0,4.0,12.0,-1.2095079295758046e-7,58.0985423,1.259315372838953,218.762,1913.901,0.0,41.817,43.63523768,63.40440489186692,19.769167211866915
894ba0a5b37ffff,121.5642000369561,24.98315500327533,1.0,1.0,1.0,1.0,1.0,12.0,3.0,2.0,2.0,1.0,1.0,48.581,0.0,4.0,0.0,0.0,5.0,5.0,3.310317474553825e-6,50.9976676,0.8766219253524274,163.369,1134.6,0.80751,23.796,43.638212900000006,53.14868701273817,9.510474112738166
894ba0a4153ffff,121.5332989774334,25.04122399028448,1.0,1.0,0.0,1.0,0.417,12.0,4.0,2.0,2.0,1.0,1.0,69.302,0.0,7.0,0.0,3.0,13.0,14.0,-6.339536518654179e-6,73.31107870000001,1.2799629392016996,294.927,1976.374,0.0,31.02,123.50204336000002,112.40708955359266,-11.09495380640736
894ba0a4e63ffff,121.55676595939173,25.02535700566385,1.0,1.0,0.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,20.585,0.0,5.0,1.0,1.0,7.0,15.0,2.4977940426460437e-6,52.4618076,1.123431180259538,297.699,1691.852,0.40066,3.0,87.44204638000001,88.00315765973839,0.5611112797383839
894ba0a6a4fffff,121.5454689979299,25.05959800214488,1.0,1.0,0.0,2.0,0.857,7.0,3.0,2.0,2.0,1.0,1.0,41.527,1.0,2.0,1.0,2.0,4.0,25.0,-2.0465454425534552e-6,62.932944600000006,1.3448700196039358,238.014,1846.846,0.15267,35.645,82.50053654,78.54679760672123,-3.953738933278771
894ba1d3613ffff,121.58972301594434,25.07990898801009,2.0,1.0,0.0,1.0,0.846,13.0,2.0,1.0,1.0,1.0,0.0,19.315,0.0,3.0,2.0,0.0,5.0,10.0,5.8885884003645754e-8,60.0720117,1.3570544322769913,199.249,1607.754,0.58423,31.617,98.00903608,98.52711871501627,0.5180826350162704
894ba0a4c5bffff,121.55489402895556,25.04591299455888,1.0,1.0,0.0,2.0,0.833,6.0,3.0,2.0,2.0,1.0,1.0,46.325,0.0,9.0,0.0,1.0,1.0,3.0,-3.018837385592029e-6,67.24344020000001,1.3304047678375208,119.886,1945.922,0.15267,42.156,79.07242194000001,75.77617500983773,-3.296246930162283
