hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,district,age,mean_rent,pred_rent,diff
894ba0a596fffff,121.56783107741173,24.98888478846704,1.0,1.0,1.0,1.0,0.462,26.0,4.0,2.0,2.0,1.0,1.0,71.036,1.0,7.0,1.0,0.0,2.0,8.0,-2.167860749439599e-6,61.628863,0.8766219253524274,180.894,0.80751,34.717,1280.642,1280.65426196651,0.012261966509868216
894ba5696c7ffff,121.50396818365158,25.128968602572087,1.0,1.0,1.0,2.0,0.556,9.0,2.0,2.0,1.0,1.0,1.0,33.444,1.0,2.0,0.0,6.0,0.0,1.0,3.69316695780927e-7,56.0612245,1.0283727376965008,217.864,0.59608,26.786,1461.371,1461.6530288763938,0.2820288763937242
894ba56964fffff,121.50612501497665,25.11928000260112,1.0,1.0,1.0,2.0,0.778,9.0,3.0,2.0,1.0,1.0,1.0,33.184,0.0,0.0,0.0,3.0,5.0,3.0,9.846542058047396e-7,55.71399420000001,1.0283727376965008,117.055,0.59608,28.445,1751.514,1750.5916143678273,-0.9223856321725634
894ba0a4067ffff,121.524911961297,25.034908980613068,2.0,1.0,1.0,1.0,0.692,13.0,0.0,1.0,1.0,1.0,1.0,17.2,0.0,2.0,1.0,0.0,4.0,3.0,-7.964756014718319e-6,82.4029155,1.2836439137135924,108.135,0.0,38.259,2049.029,2054.7174768781283,5.688476878128313
894ba0a463bffff,121.50161102484054,25.034563017559503,2.0,1.0,0.0,1.0,0.5,14.0,1.0,1.0,1.0,1.0,1.0,19.653,0.0,11.0,0.0,0.0,14.0,10.0,4.218650220504915e-6,46.9034985,0.8758391766346513,439.331,1.0,40.961,1833.056,1833.0559999999925,-7.503331289626658e-12
894ba0a6acfffff,121.53973502178668,25.0649340055254,2.0,1.0,0.0,5.0,0.6,5.0,3.0,2.0,2.0,1.0,1.0,35.813,0.0,13.0,1.0,1.0,5.0,17.0,2.703956708229371e-6,52.72448980000001,1.344965233176035,241.734,0.31615,36.422,1721.411,1723.2665691328355,1.8555691328353987
894ba0a4e07ffff,121.55816297119397,25.035033996698928,3.0,1.0,0.0,1.0,0.083,12.0,1.0,1.0,1.0,1.0,1.0,19.333,4.0,11.0,0.0,1.0,7.0,20.0,-1.011071147546002e-6,64.6845481,1.1578096660478916,224.164,0.40066,23.623,2055.044,2055.962280675297,0.9182806752969555
894ba0a4c83ffff,121.560792038944,25.060324000688425,1.0,1.0,1.0,2.0,0.625,8.0,4.0,2.0,2.0,1.0,1.0,69.85,0.0,7.0,0.0,2.0,2.0,26.0,-7.256716526716702e-6,72.67696790000001,1.3448001818961128,142.348,0.15267,44.414,1550.344,1579.222637995896,28.878637995896042
894ba0a455bffff,121.51555197384,25.053319998575983,1.0,1.0,0.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,12.215,1.0,13.0,0.0,1.0,7.0,10.0,1.6798327985288308e-6,55.474052500000006,1.0450340557612128,137.447,0.52195,34.349,1827.5,1860.2434770454133,32.74347704541333
894ba0a4533ffff,121.5325900360628,25.063009981560995,1.0,1.0,0.0,2.0,0.571,7.0,3.0,2.0,2.0,1.0,1.0,46.043,35.0,12.0,0.0,0.0,12.0,17.0,2.9410200282043057e-6,49.5728863,1.344965233176035,282.125,0.31615,42.736,1953.418,1938.8593350830004,-14.558664916999533
894ba1d3237ffff,121.61717564039222,25.067073311775527,1.0,1.0,1.0,1.0,0.417,12.0,2.0,2.0,1.0,1.0,1.0,38.166,0.0,11.0,0.0,2.0,2.0,13.0,3.875247182156047e-6,50.4944606,1.2966526051517435,151.023,0.58423,23.489,1450.035,1450.0379513098248,0.002951309824766213
894ba0a4343ffff,121.52683099802904,25.0203960086314,2.0,1.0,0.0,2.0,0.167,6.0,3.0,2.0,2.0,1.0,1.0,37.622,1.0,8.0,1.0,0.0,10.0,13.0,-1.8827201327929475e-6,67.1413994,1.2856664099150177,210.506,0.00286,38.728,2100.478,2098.913474676149,-1.564525323851285
